order_id,customer_id,amount,currency,status,created_at,updated_at
100003,C0031,31.65,USD,refunded,2026-08-29T15:25:20+0000,2026-08-29T16:55:20+0000
100005,C0032,52.33,USD,refunded,2026-08-29T16:28:20+0000,2026-08-29T16:45:20+0000
100007,C0007,106.3,USD,refunded,2026-08-29T16:01:20+0000,2026-08-29T16:35:20+0000
100008,C0012,45.14,USD,pending,2026-08-29T14:20:20+0000,2026-08-29T16:40:20+0000
100010,C0063,44.34,USD,cancelled,2026-08-29T14:07:20+0000,2026-08-29T16:34:20+0000
100012,C0009,20.87,USD,pending,2026-08-29T14:05:20+0000,2026-08-29T16:45:20+0000
100013,C0062,52.98,USD,completed,2026-08-29T15:11:20+0000,2026-08-29T16:44:20+0000
100018,C0054,63.13,USD,completed,2026-08-29T15:31:20+0000,2026-08-29T16:40:20+0000
100021,C0034,51.81,USD,completed,2026-08-29T15:39:20+0000,2026-08-29T16:41:20+0000
100023,C0056,28.27,USD,refunded,2026-08-29T14:12:20+0000,2026-08-29T16:38:20+0000
100027,C0020,64.92,USD,completed,2026-08-29T13:49:20+0000,2026-08-29T16:45:20+0000
100029,C0044,52.26,USD,cancelled,2026-08-29T14:40:20+0000,2026-08-29T16:47:20+0000
100031,C0037,115.64,USD,cancelled,2026-08-29T15:19:20+0000,2026-08-29T16:55:20+0000
100035,C0064,73.94,USD,cancelled,2026-08-29T16:05:20+0000,2026-08-29T16:37:20+0000
100037,C0043,38.9,USD,completed,2026-08-29T15:55:20+0000,2026-08-29T16:47:20+0000
100038,C0065,82.78,USD,pending,2026-08-29T15:03:20+0000,2026-08-29T16:49:20+0000
100039,C0009,74.8,USD,pending,2026-08-29T16:03:20+0000,2026-08-29T16:38:20+0000
100040,C0051,55.39,USD,cancelled,2026-08-29T14:43:20+0000,2026-08-29T16:35:20+0000
100044,C0063,79.93,USD,refunded,2026-08-29T15:38:20+0000,2026-08-29T16:51:20+0000
100047,C0054,36.23,USD,completed,2026-08-29T15:57:20+0000,2026-08-29T16:40:20+0000
100048,C0002,92.37,USD,completed,2026-08-29T14:16:20+0000,2026-08-29T16:39:20+0000
100059,C0017,46.11,USD,completed,2026-08-29T15:58:20+0000,2026-08-29T16:47:20+0000
100065,C0049,74.41,USD,pending,2026-08-29T14:49:20+0000,2026-08-29T16:54:20+0000
100066,C0027,20.32,USD,completed,2026-08-29T13:47:20+0000,2026-08-29T16:37:20+0000
100069,C0059,54.23,USD,pending,2026-08-29T15:18:20+0000,2026-08-29T16:52:20+0000
100071,C0019,49.42,USD,cancelled,2026-08-29T15:02:20+0000,2026-08-29T16:48:20+0000
100074,C0005,95.31,USD,refunded,2026-08-29T13:34:20+0000,2026-08-29T16:34:20+0000
100076,C0011,78.34,USD,cancelled,2026-08-29T14:50:20+0000,2026-08-29T16:55:20+0000
100077,C0022,64.02,USD,completed,2026-08-29T16:00:20+0000,2026-08-29T16:47:20+0000
100083,C0006,55.57,USD,refunded,2026-08-29T14:15:20+0000,2026-08-29T16:49:20+0000
100084,C0042,38.5,USD,cancelled,2026-08-29T14:26:20+0000,2026-08-29T16:43:20+0000
100086,C0063,73.29,USD,completed,2026-08-29T15:22:20+0000,2026-08-29T16:35:20+0000
100088,C0049,60.48,USD,completed,2026-08-29T15:53:20+0000,2026-08-29T16:49:20+0000
100095,C0001,48.61,USD,cancelled,2026-08-29T14:13:20+0000,2026-08-29T16:35:20+0000
100097,C0073,143.6,USD,pending,2026-08-29T13:50:20+0000,2026-08-29T16:34:20+0000
100099,C0030,61.31,USD,completed,2026-08-29T13:57:20+0000,2026-08-29T16:49:20+0000
100104,C0029,63.68,USD,completed,2026-08-29T14:13:20+0000,2026-08-29T16:38:20+0000
100106,C0068,134.35,USD,completed,2026-08-29T13:58:20+0000,2026-08-29T16:39:20+0000
100115,C0050,79.5,USD,completed,2026-08-29T15:08:20+0000,2026-08-29T16:46:20+0000
100117,C0050,45.18,USD,completed,2026-08-29T15:03:20+0000,2026-08-29T16:47:20+0000
100120,C0074,43.02,USD,completed,2026-08-29T16:03:20+0000,2026-08-29T16:51:20+0000
100122,C0043,48.18,USD,completed,2026-08-29T15:21:20+0000,2026-08-29T16:53:20+0000
100123,C0009,34.61,USD,refunded,2026-08-29T15:29:20+0000,2026-08-29T16:41:20+0000
100127,C0066,55.45,USD,refunded,2026-08-29T15:34:20+0000,2026-08-29T16:37:20+0000
100131,C0063,54.9,USD,refunded,2026-08-29T15:15:20+0000,2026-08-29T16:50:20+0000
100132,C0002,73.12,USD,completed,2026-08-29T16:48:20+0000,2026-08-29T16:51:20+0000
100134,C0025,29.89,USD,completed,2026-08-29T15:00:20+0000,2026-08-29T16:40:20+0000
100136,C0051,96.74,USD,completed,2026-08-29T16:18:20+0000,2026-08-29T16:47:20+0000
100137,C0073,83.41,USD,cancelled,2026-08-29T13:57:20+0000,2026-08-29T16:36:20+0000
100142,C0066,22.31,USD,pending,2026-08-29T14:22:20+0000,2026-08-29T16:43:20+0000
100144,C0056,83.59,USD,refunded,2026-08-29T15:59:20+0000,2026-08-29T16:38:20+0000
100146,C0022,43.61,USD,completed,2026-08-29T15:54:20+0000,2026-08-29T16:48:20+0000
100147,C0029,31.36,USD,refunded,2026-08-29T14:06:20+0000,2026-08-29T16:52:20+0000
100149,C0062,36.97,USD,pending,2026-08-29T16:07:20+0000,2026-08-29T16:38:20+0000
100152,C0071,122.68,USD,pending,2026-08-29T14:57:20+0000,2026-08-29T16:42:20+0000
100154,C0070,78.52,USD,refunded,2026-08-29T15:44:20+0000,2026-08-29T16:37:20+0000
100160,C0055,66.93,USD,completed,2026-08-29T14:28:20+0000,2026-08-29T16:43:20+0000
100162,C0022,47.67,USD,refunded,2026-08-29T14:45:20+0000,2026-08-29T16:36:20+0000
100166,C0045,49.62,USD,refunded,2026-08-29T16:34:20+0000,2026-08-29T16:50:20+0000
100168,C0015,68.22,USD,pending,2026-08-29T14:49:20+0000,2026-08-29T16:34:20+0000
100169,C0019,116.74,USD,pending,2026-08-29T16:23:20+0000,2026-08-29T16:38:20+0000
100174,C0061,25.08,USD,pending,2026-08-29T14:40:20+0000,2026-08-29T16:37:20+0000
100175,C0021,61.51,USD,pending,2026-08-29T16:44:20+0000,2026-08-29T16:53:20+0000
100177,C0009,33.39,USD,refunded,2026-08-29T14:09:20+0000,2026-08-29T16:49:20+0000
